ID,Project Name,Camera Trap Name,Latitude,Longitude,Sampling Event,Photo Type,Photo Date,Photo time,Raw Name,Class,Order,Family,Genus,Species,Number of Animals,Person Identifying the Photo,Camera Serial Number,Camera Start Date,Camera End Date,Person setting up the Camera,Person picking up the Camera,Camera Manufacturer,Camera Model,Sequence Info,Moon Phase,Temperature,Organization Name
340,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:58:39,06160046.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
341,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:58:39,06160047.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
343,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:58:54,06160049.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
350,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:59:20,06160056.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,2,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
339,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:58:38,06160045.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
342,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:58:53,06160048.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
344,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:58:54,06160050.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
346,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:59:08,06160052.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,2,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
348,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:59:19,06160054.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,2,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
349,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:59:19,06160055.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,2,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
